text_clean,campaign
আপনার ক্রেডিট কার্ড অ্যাকাউন্ট আপডেট করুন। দয়া করে এখানে ক্লিক করুন: [URL],2
আপনার ব্যাংক অ্যাকাউন্টে লগইন সমস্যা হচ্ছে? এখানে ক্লিক করুন: [URL],2
"আপনার বিকাশ নম্বরে ৯,০০০ টাকা পাঠানো হয়েছে। এটি বাতিল করতে এখনই [URL] ব্যবহার করুন।",5
"Robi গ্রাহক, আপনার সিম যাচাই করা প্রয়োজন। [URL] এ লগইন করে নাম, জন্মতারিখ ও OTP দিন। না হলে সিম বন্ধ হবে।",5
সোনালী ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। কল করুন: [PHONE],9
প্রতি refer-এ 75 TK minimum 500 TK withdraw করতে পারবেন। [URL],5
আপনার UCB card unusual purchase detect হয়েছে। Confirm করতে visit করুন [URL] এবং OTP 5843 submit করুন,3
Police verification failed for passport. Resubmit with 1800 TK: [URL],1
Congratulations! Canada immigration lottery te apnar naam selected hoyeche. Visa process korte ekhuni apnar passport scan email korun: [URL] Fee joma na dile selection cancel hoye jabe.,8
আপনি ৩ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: [PHONE],9
সতর্কবার্তা: আপনার ইনকাম ট্যাক্স রিটার্ন পেন্ডিং। জমা দিন: file-tax.cf,5
Secure your account immediately by logging in: [URL],1
"Apnar poroborthi Grameenphone recharge e BDT 2,000 discount pan.",6
জনতা Bank থেকে urgent message। বিস্তারিত জানতে এখানে click করুন: [URL],2
ফ্রি ইনকাম daily ১৫০০/- [URL],5
DBBL থেকে alert: unauthorized transaction detect হয়েছে। Click [URL],3
ইংলিশ প্রিমিয়ার লিগে বাজি ধরুন এবং একটি ফ্রি হোটেল বুকিং জিতুন। এখানে ক্লিক করুন: xini.eu/00Qe,0
"Apni online e ekta khondokaloin/ful-time er chakrir jonno nirbachito hoyechen. Kaj ti khubii sohoj, kono time sima nei, kono sthaner sima nei, eta ghore boshe kora jay, doinik beton 1000-5000TK, ekta chakri khujte WhatsApp manager er sathe jogajog korun: [URL]",6
আপনার bank account এ fraud detect হয়েছে। Click [URL],3
"bKash account-এ ১০,০০০ টাকা জমা হয়েছে। Details জানতে এখানে click করুন: [URL]",2
Bkash er fraud alert: Apnar wallet unauthorized device theke login attempt kora hoyeche. Apnar taka risk e ache. Please ekhuni otp confirm korun: 54321. Verification complete na korle apnar wallet lock hoye jabe ar taka harie jete pare.,8
IPL special offer! Start betting today and win a free smartphone: [URL],4
Apnar bank card ti obilombhe update korun. ekhane click korun: [URL],8
"৪৯৯ টাকায় win করুন ১ লাখ টাকা, details [URL]",4
Ghore boshe online income korun! Kono proshikkhon proyojon nei. Bistarito jante call korun: [PHONE],6
Scholarship award of 75000 BDT approved. Accept: [URL] Code: SCH4421,1
জনতা bank account block হয়েছে। পুনরায় চালু করতে call করুন: [PHONE],3
Please send money urgently for your son's problem.,1
আপনি ৪ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: [PHONE],9
আইপিএল স্পেশাল অফার! বেটিং শুরু করুন এবং একটি ফ্রি ল্যাপটপ জিতুন। ক্লিক করুন: [URL],0
আপনার ড্রাইভিং লাইসেন্স রিনিউ করার সময়। অনলাইনে করুন: renew-license.cf,5
Shortoktoa! Order ID #MFHK98Z SONY Alpha SLT-A55 DSLR camera er jonno AMZ-e apnar card theke $765.00 charge kora hoyeche. Batil ebong ferot pete? Amader call korun + 1844 6620 383,8
URGENT: gas bill overdue 9283 TK. Disconnection in 2 hours: [URL],1
"Apnar credit card-ti update korun, na hole eta bondho hoye jabe. Ekhane click korun: [URL]",8
Apnar debit card er pin reset korte call korun [PHONE],8
"Golden opportunity for unemployed youth, women, housewives, retired persons to earn a lot of money online from home in a short time",1
Apnar lendenti shompurno korte ekhane click korun: [URL],8
Click here to verify your mobile number: [URL],7
"Apnar jomi bikrir taka joma hoyeche, call korun: [PHONE]",8
আপনার UCB card unusual purchase detect হয়েছে। Confirm করতে visit করুন [URL] এখনই and avoid account block।,3
ডাচ্-বাংলা ব্যাংক থেকে জানানো হচ্ছে যে আপনার কার্ড ব্লক করা হয়েছে। পুনরায় চালু করতে আপনার পিন ও কার্ড নম্বর SMS করুন [PHONE] নাম্বারে।,5
Prime Bank warning: আপনার account suspend হতে পারে। Check now [URL],3
Crypto trading e bishesh offer! Ekhoni login korun: [URL],6
Notun sim nin ebong binamullo 50GB internet pan! click korun: [URL],6
Bangladesh Bank থেকে emergency message। Call করুন: [PHONE],3
1 ta story likhe dile 40 TK 2 ta story 80 TK 5 ta likhle 200 TK daily 6-7 ta pic dewa hobe seta dekhe dekhe likhte hobe shudhu. 😊 kaj korar sathe sathei payment paben Inshallah ad fee 50 TK ✅,1
[URL] Ei link theke account korle i paben 85 taka. Shudhu 2 minute e 4 ta task complete korte hobe. Evabe protidin 4 kore task ashbe ar 85 taka kore paben. Baki kichu jante inbox e knock din💝💝,6
Your account will be blocked. Contact [PHONE] .,1
Government tax refund of 15000 BDT pending. Claim at: [URL] Enter: NID + mobile number,1
City Bank urgent warning: Apnar internet banking unauthorized access attempt detect hoyeche. Please verify password reset now [URL] Failure hole account suspend hobe.,8
"Hot wallet token দিয়ে দিয়েছে 1 token $5.00। যারা অল্প time-এ বেশি income করতে চান, এখনই join করুণ Link: [URL]",5
Get a new SIM and free 50GB internet! Click: [URL],1
আপনার credit card এর bill payment miss হয়েছে। এখানে click করে payment করুন: [URL],2
Emergency: Apnar NID misuse hoyeche ekta online transaction e. OTP send korun immediately to [PHONE] . Failure hole taka harano jabe.,8
*FIFA 2022 World Cup free 50GB data offer* *I've received mine* *Open link* [URL],1
"You have won TK 5,000 prize from Nagad account! For details call: [PHONE]",1
Abhinondon! apni Radisson Blu-te dujoner jonno ekti binamullo dinner jitechen. apnar table book korte call korun 017XX.,8
Janata Bank account update করতে এখানে click করুন: [ [URL],2
শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে ক্রিকেটে বাজি ধরুন! শুরু করুন: [URL],0
Your NID expired/invalid. Renewal fee 5947 TK: [URL],1
"নগদ অ্যাকাউন্টে ১০,০০০ টাকা জমা হয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]",2
আপনার phone number-টি 5000 টাকা reward জিতেছেন! Details জানতে call করুন [PHONE],3
City Bank fraud team er message: Apnar credit card e fraudulent activity detect hoyeche. Apnar card protect korte ekhuni SMS korun STOP to 16222. Action na nile unauthorized withdrawal hoye jabe ar apnar taka harano jete pare.,8
Suspicious activity detected in your account. Login to verify: [URL],1
Your number has been selected for a special offer! Call to receive prize [PHONE],1
"জরুরি নিয়োগ, থাকা খাওয়ার সুবিধাসহ ৩০,০০০ টাকার বেতন/ সেলারি যোগাযোগ [PHONE]",5
Urgent police verification required. Fine avoid korte 2000TK bKash korun [PHONE] e.,8
আপনার internet package update করতে call করুন [PHONE],3
Bet at the casino and win a free hotel booking! Click today: [URL],4
Mashrafir shathe free trip jitte ajei casino te baji dhorun. Click korun: xini.eu/00Qe,6
আপনাদের job application approve হয়েছে এবং salary প্রতিদিন 3000 টাকা। Contact info: [URL],5
💖 আপনি কি ফ্রি কাজ শিখতে চান। কাজের পাশাপাশি কি ইনকাম করতে চান?প্রতি দিন ৪০০থেকে৫০০ টাকা ইনকাম করতে পারবেন? তাহলে আর দেরি কেনো? এখনি যোগাযোগ করুন : [PHONE],5
স্থিতিশীল কাজ। বেতন 1500 BDT/দিন। ঘরে বসে কাজ: cutt.ly/U6zMFGQ,5
apnar SIM card punoray sokriyo korte call korun [PHONE],8
আপনার email box-টি full। Clear করতে এখানে click করুন: [URL],2
"⏩নতুন ওয়েবসাইট [PROFITSHOP24] ▶️রেজিষ্ট্রেশন ফি 15 টাকা ▶️ রেজিস্ট্রেশন লিং: ইনবক্স। 🌟 কাজ হলোঃ ইউটিউবে ভিডিও দেখা,,অথবা ফেসবুকে একটা Page ফলো দিয়ে আপনি 1-3 টাকা ইনকাম করতে পারবেন ।🔥😱 👉মাত্র ৩৫ টাকা হলেই উইথড্র দিতে পারবেন 👈",5
"বিকাশ একাউন্টে ১০,০০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে [URL] এ গিয়ে পিন দিন। না হলে একাউন্ট স্থগিত হবে।",5
Shakib Al Hasan এর সাথে free match ticket জিততে চাইলে আজই IPL এ bet করুন। Click here: xini.eu/00Qe,4
জরুরি! আপনার ব্র্যাক ব্যাংক অ্যাকাউন্ট হ্যাক হয়েছে। OTP: 2346 দিয়ে সুরক্ষিত করুন।,5
Ghore boshe income korte hole apnar hate thaka byabohrito sim ti ke flexiload sim baniye nin ar online e offline e dubhabe offer sell kore protidin 500 theke 700 taka income korun onayese jodi apnar byabohrito sim theke flexiload sim banate chan tahole inbox korun dhonnobad,6
"If anyone wants to earn income online from home, inbox me. 200 to 500 taka daily.",1
আপনার গ্যাস বিল বকেয়া রয়েছে। অবিলম্বে পেমেন্ট করুন। কল করুন [PHONE],9
"Good Afternoon!! I am Mithila, Marketing Manager at HYPE Dhaka (RB DIGITAL LIMITED). Our company is running a campaign where you can join and earn from home.",1
২৪ ঘণ্টার মধ্যে ৫ লক্ষ টাকা লোন নিশ্চিত। কোন জমা বা দালালি নেই। আজই আবেদন করুন। যোগাযোগ: [PHONE],5
HSBC BD cyber security team: Unauthorized login activity detected apnar profile e Singapore IP theke. To protect apnar money please reset password immediately at [URL] Na korle apnar internet banking suspend hoye jabe.,8
Bank security alert: Unauthorized login attempt. Secure account: [URL] PIN: 5829,3
একটি click-এ বিস্তারিত জানুন কীভাবে income করতে হয়! ঘরে বসে mobile থেকে টাকা income করুন: [URL],5
উপবৃত্তির 4200 টাকার জন্য যোগাযোগ করুন: [PHONE] শিক্ষা বোর্ড,5
100+ মোবাইল গেম খেলতে এবং প্রতিদিন 25 কোটি টাকা পর্যন্ত নগদ পুরস্কার জিততে বৃহত্তম সামাজিক গেমিং অ্যাপ ডাউনলোড করুন।,5
বিশেষ জরুরি ঘোষণা! আপনার নামে একটি বড় আর্থিক প্রতারণার মামলা দায়ের হয়েছে যেখানে অভিযোগ করা হয়েছে যে আপনি অনলাইনে জুয়া খেলে এবং হাওলা ব্যবসার সাথে জড়িত আছেন। এই মিথ্যা অভিযোগ থেকে নিজেকে রক্ষা করার জন্য আপনাকে একটি আইনি সার্টিফিকেট সংগ্রহ করতে হবে যার জন্য ৩০০০ টাকা ফি দিতে হবে। ২৪ ঘন্টার মধ্যে legal-clear-bd.tk লিংকে গিয়ে আপনার সমস্ত তথ্য দিয়ে এই ফি পরিশোধ করুন নতুবা আপনার বিরুদ্ধে গ্রেফতারি পরোয়ানা জারি হতে পারে।,5
"*Home-এ বসে form fillup কাজ। * ৫ form = ৫১০TK, আমাদের company-তে hiring চলছে। *Qualification: বাংলা পড়তে পারলেই হবে *WhatsApp থাকতে হবে। *Salary: [PHONE] TK",5
Congratulations! Dutch-Bangla lucky draw prize ৮ লাখ TK। Claim করতে visit করুন [URL] with code 9625 before ৩১ Sep,3
"Your electricity meter tampered illegally. Avoid legal action, pay fine 5200 TK: [URL]",1
Dear customer your electricity connection will be disconnected today at 10.30 PM from Electricity Office. Because your previous month's bill was not updated please contact us immediately Electricity Officer [PHONE] Thank you,1
Tax audit penalty 31826 TK due immediately: [URL],1
Nagad account block হয়েছে। Again চালু করতে call করুন: [PHONE],3
Call to reactivate your gas connection [PHONE],1
Courier service: Apnar Amazon package hold kora hoyeche. Release korte ekhuni apnar card details confirm korun [URL] Delay hole package return hobe.,8
"Juktorajye nibondhito nurse hisabe ekta career toiri korun , mashik minimum soho 2 bochor er kajer visa. Prarombhik beton 3 lakh taka BSB,Dhaka Please Contact Us: [PHONE] , [PHONE]",6
আপনার credit card account update করুন। দয়া করে এখানে click করুন: [URL],2
জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: [PHONE],9
আপনার card এ unusual activity detect হয়েছে। Confirm করুন [URL],3
Your Mutual Trust Bank fixed deposit matured. Withdraw: [URL],1
আপনার DBBL account এ unusual activity detect হয়েছে। Confirm now [URL],3
আপনার number-টি prize জিতেছে। বিস্তারিত জানতে call করুন [PHONE],3
URGENT: electricity bill overdue 15632 TK. Disconnection in 24 hours: [URL],1
"ইমার্জেন্সি নোটিশ! আপনার মোবাইল নম্বর [PHONE] টি একটি আন্তর্জাতিক প্রতারণামূলক চক্রের তালিকায় অন্তর্ভুক্ত হয়েছে। এই নম্বর ব্যবহার করে বিভিন্ন অবৈধ কার্যকলাপের অভিযোগ এসেছে যার মধ্যে রয়েছে অনলাইন জুয়া, সাইবার বুলিং এবং ফ্রড। আপনার নাম পরিষ্কার রাখতে এবং আইনি ঝামেলা এড়াতে পরবর্তী ২৪ ঘন্টার মধ্যে আপনার পরিচয় যাচাই করতে হবে। clear-name-urgent.ga লিংকে গিয়ে সম্পূর্ণ তথ্য দিন।",5
"আপনার সিভি পাস হয়েছে এবং আপনি বাড়ি থেকে আপনার মোবাইল ফোনের মাধ্যমে কাজ করতে পারবেন এবং প্রতিদিন ২,০০০ টাকা পাবেন। এখনই যোগ দিন: wa.me/ [PHONE]",5
"Dear Customer, 23-02-2020 tarikh e card XX diye Rs.8990 len-den hoyeche K Enterprice ds POS/ECOM theke. len-den number paoya jayni. jodi eti apnar dora na hoye thake, tobe registered mobile number theke [PHONE] e SMS preron korun.",8
Unknown transaction detected in your bank account. Click here for details: [ [URL],7
বিনামূল্যে ক্রিপ্টো পাওয়ার সুযোগ! এখানে ক্লিক করুন: [URL],2
"সোনালী ব্যাংক জানাচ্ছে, আপনার কার্ড ব্লক হয়ে যাবে যদি ১২ ঘণ্টার মধ্যে তথ্য আপডেট না করেন। ভিজিট করুন: [URL]",5
"100% guaranteed job opportunity abroad. No fee, just need your passport and educational qualifications. Contact: [PHONE]",1
Casino-তে bet করুন এবং একটি free house win করুন! আজই start করুন: [URL],4
Bangladesh Bank theke joruri barta. call korun: [PHONE],6
Apni 3 bhori sona jitechen! Bistrito jante kol korun: [PHONE],6
Your passport application rejected. Resubmit with 1500 TK fee: [URL],1
Fake scholarship: Apni Oxford University scholarship er jonno select hoyechen. Seat confirm korte 6000TK pay korte hobe. Deadline 24hr. Email details send korun [URL],8
"প্রিয় customer, suspicious transaction এর কারণে আপনার account temporarily বন্ধ করা হয়েছে।Bangladesh Bank এর policy অনুসারে সঠিক information এর basis এ পুনরায় activate করে দেওয়া হবে। একজন manager আপনাকে call দেবে ( .. )",3
"৮,০০০ টাকা বিনিয়োগে ২৪,০০০ টাকা পান! কল করুন: [PHONE]",9
You won 6 vori gold! Call for details: [PHONE],1
Shudhu mobile thakle apniyo parben mashe kompokkhe [PHONE] taka ay korte. Bistarito jante [PHONE],6
Please update your debit card immediately. Click here: [URL],7
You missed your credit card bill payment. Click here to pay: [URL],7
Call to verify your account [PHONE],1
Your bank account notifications are not being received. Please click here: [URL],7
Your property ownership documents forged. Authenticate with 22000 TK: [URL],1
Rocket system reminder: Apnar wallet limit exceed hoye geche. To unlock limit verification korte hobe. Please send apnar details [URL] e.,8
"BRAC Bank er emergency alert: Apnar account balance mismatch detected 50,000TK. Ei system error fix korte login korun: [URL] Delay hole apnar taka loss hote pare permanently.",8
"Daily ৫০০,৭০০,১০০০ টাকা income Emergency লোক লাগবে। কেউ করতে চাইলে আমাকে message দিন।",5
Video ba call-e kotha bolte chaile click korun [URL],6
মেধাবী students-দের জন্য scholarship facility ও experienced doctor-এর সাথে directly free consultation সহ বছরে ৳1900 health coverage-এর সাথে Health Plus-এর অন্যান্য benefit পেতে START RP লিখে send করুন 28477.,5
"Hello, my name is Aliye. Sorry to bother you. I am calling from the Human Resources Department of [URL] Can I take a few minutes of your time? 2:30 PM Our company is happy to offer you a part-time job that you can do in your free time, so we need to hire a large number of associate workers (no fee and no investment). This job is easy and flexible and will not interfere with your current job in any way. Later you can easily earn 300-1200 taka in just 5-10 minutes daily. Are you interested in this job?",1
সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে কল করুন: [PHONE],9
"জনতা ব্যাংক থেকে ২,০০০ টাকা পুরস্কার জিতেছেন! কল করুন: [PHONE]",9
Facebook নিরাপত্তা টিম থেকে বার্তা: আপনার একাউন্টে অস্বাভাবিক লগইন শনাক্ত হয়েছে। অ্যাকাউন্ট রক্ষা করতে এখনই [URL] এ যান এবং মোবাইল নাম্বার যাচাই করুন।,5
Apnar mobile balance recharge korte ekhane click korun: [URL],8
Get a chance for an exclusive interview with Shakib Al Hasan by betting. Click now: [URL],4
Bet on cricket today to win Shakib's signed bat! Click here: [URL],4
There's a problem with your account. Contact this number quickly [PHONE] .,1
"জনতা ব্যাংক থেকে ২,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]",2
যারা free-তে income করতে চান শুধু তারা আমাদের telegram link-এ ঢুকে কাজ start করে দেন [URL],5
"Dear customer, আপনার City Bank credit card update দরকার। Please confirm your info 018XX নম্বরে call করুন।",3
Doya kore apnar cheler shomoshyar jonno taratari taka pathan.,6
"Ajei casino te baji dharun ebong 10,000 taka jetar shujog pan! Ekhoni jog din: [URL]",6
Congratulations! You have been selected for Dutch Bangla Bank scholarship. Click the link below to know the proper confirmation and money withdrawal rules.,1
জনতা ব্যাংক থেকে জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],2
Aarong is giving huge offer for Eid click করুন [URL],1
"15,000 টাকা investment-এ 45,000 টাকা achieve করুন! Call করুন: [PHONE]",3
Ramadan gift [URL] 43,1
"২০,০০০ TK investment-এ ৬০,০০০ TK পান! Call করুন: [PHONE]",3
Shakib er shathe free match ticket jitte cricket e baji dhoro! Shuru korun: [URL],6
আপনার ইমেল অ্যাকাউন্টে সমস্যা হয়েছে। সুরক্ষার জন্য এখানে ক্লিক করুন: [URL],2
"Dear student, Congratulations on passing your secondary exam. Today you are the future of Bangladesh, we await you. Comilla City College (EIIN:134648) Kotbari, Comilla Mobile: [PHONE]",1
"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN456। To claim, এই site visit করুন: [URL]",5
"Invest TK 1,00,000 and get TK 3,00,000! Call: [PHONE]",1
"প্রিয় customer, আপনার internet service বন্ধ হতে চলেছে। পুনরায় চালু করতে এখানে click করুন: [URL]",2
"ভালোভাবে চেষ্টা করলে মাসে ৩০-৬০ হাজার টাকা ইনকাম করতে পারবেন ...!🥰কাজ করতে না চাইলে ও একবার আমাদের online class টা করুন, আসা করি ভালো লাগবে। শুধু telegram id লাগবে।",5
bKash account blocked হয়েছে। Reactivate করতে call করুন: [PHONE],3
আপনার Facebook ID যাচাই না হলে বন্ধ হয়ে যাবে। এখনই login করুন: [URL] এবং OTP নিশ্চিত করুন।,5
[URL] দিনে 200 থেকে 300 টাকা ইনকাম করতে চাইলে এই লিংকে ক্লিক করুন,5
"আপনার card ending in 6543 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: [URL]",3
🔥Already Listed🔥 600k হলেই Withdraw ✅💸 600k = 7.8 usdt 😛 যারা যারা miss করেছেন এখনও chance আছে।Pepe🔥🔥 already listed withdraw হচ্ছে। দেরি না করে এখনি mining শুরু করে দিন 🔥 [URL],5
আপনার transaction security-র জন্য অবিলম্বে login করুন: [URL],5
আপনি ৭ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: [PHONE],9
রমজানের উপহার [URL],1
"প্রিয় customer, আপনার card-এর new PIN code generate করতে নিচের link-এ যান এবং previous all information provide করুন, অবশ্যই correct PIN codeটি share করবেন না। Link: [URL]",5
Bangladesh Bank account-e error দেখা দিয়েছে। Call করুন: [PHONE],3
"TK5,000 has been deposited in Nagad account. Click here for details: [URL]",7
Opportunity to double your savings! Call: [PHONE],1
"Dear customer, you have been selected for elderly allowance from Social Welfare Office. Click the link below and provide your information.",1
"সাইপ্রাস/ইউরোপে স্পট ভর্তি প্রতিনিধির উপস্থিতিতে (মিঃ পাম্বোস) 10-11 অক্টোবর, 100% ভিসার নিশ্চয়তা, ক্রেডিট ট্রান্সফার, টিউশন ফি 5000 ইউরো শুধুমাত্র, বিএসবি, ঢাকা যোগাযোগের নম্বর: [PHONE]",5
Apnar sonchoy digun korar sujog! Kol korun: [PHONE],8
Update your bank information. Click here: [URL],7
"Play football star and win 10,000 taka every week contact [URL]",4
যদি আপনার হাতে দিনের ১/২ ঘন্টা ফ্রি সময় থাকে তাহলে জানাবেন।আপনাকে কিছু প্রসেস দেখিয়ে দিবো আপনি সেখান থেকে ইনকাম করতে পারবেন। তাহলে এখনি Hi বলুন।.,5
"আপনি গ্রামীণফোন থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN123। To claim, এই site visit করুন: [URL]",5
আপনার car insurance renew করতে call করুন [PHONE],3
বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। কল করুন: [PHONE],9
আপনার টিএন্টি মোবাইল ব্যাংকিং একাউন্ট হ্যাক! তাড়াতাড়ি সুরক্ষিত করুন: secure-tnt.cf,5
"Priyo grahok, apnar mobile numberTi block kora hochhe. Eta erate 017XX number e call kore apnar porichoy nishchito korun.",8
"প্রিয় candidate, আপনি selected হয়েছে BRAC Bank PLC-এর জন্য Relationship Executive পদের জন্য preliminary interview। Mhadi Support Services Limited-এর job-এর অধীনে। Date-29 April (Monday), 2024। Time-2.00 PM। Salary-24000/- আপনাকে অবশ্যই একটি updated CV এবং SSC certificate-এর photocopy আনতে হবে। Address: Gulshan Grace, 8 South Gulshan Avenue, Level-5, 2nd Building। Gulshan-1, Dhaka। (Type: location পেতে Google Map-এ 'Mahadi Corporate Office') Best regards, Mahadi Support Services Limited।",5
"প্রিয় গ্রাহক, আপনার মোবাইল ব্যাংকিং তথ্য যাচাই করতে হবে। অন্যথায় একাউন্ট বন্ধ হবে। এখনই [URL] ভিজিট করুন।",5
Your mobile number selected for government survey. Win 200 TK: [URL] Code: SV7741,1
"DBBL কার্ড লেনদেন ব্যর্থ হয়েছে। পুনরায় সক্রিয় করতে [URL] এ লগইন করুন এবং কার্ড নম্বর, CVV ও OTP দিন। না করলে কার্ড ব্লক হবে।",5
"[URL] You can earn free income. Just enter for 1 minute and see, then there's no problem.",1
"আপনার বিকাশে ৭,৫০০ টাকা কেটে নেওয়া হয়েছে। যদি ভুল হয় তবে [URL] ভিজিট করুন।",5
আপনার mobile balance recharge করতে এখানে click করুন: [URL],2
Bangladesh Bank account update করতে call করুন: [PHONE],3
Learn about design and marketing for your business! Get professional advice and look towards business management. Contact for details click on this link: [URL],1
Bangladesh Bank থেকে urgent message. Details জানতে এখানে click করুন: [URL],2
আপনার account secure নয়। ৪০০০ টাকা send করুন এই number-এ: [PHONE] ।,3
Your mobile banking PIN compromised! Reset immediately: [URL],1
"আপনার son problem-এ আছে, তাই দ্রুত টাকা পাঠান।",5
➡️আপনি কি online এ কাজ করতে চান?? Our project name: Forgsec.io 🆓 আমরা Telegram এ live class এর মাধ্যমে free 1/2 টা class করিয়ে সম্পূর্ণ কাজ শেখাবো ✅✅ 🔜 সাইটে daily income এবং monthly salary এর সুবিধা আছে ☑️☑️ প্রমাণ নিয়ে 100% real কাজ করবেন ✅,5
আপনার payment-টি process করতে আমাদের আপনার info প্রয়োজন। এখানে click করুন: [URL],2
Krishok der jonno sorkar dicche panchas hajar taka porjonto bhortuki. Bhortuki pete akhonii jogajog korun [PHONE],6
"বিপিএল বাজি ধরুন এবং ১০,০০০ টাকা ক্যাশব্যাক জিতুন। শুরু করুন: [URL]",0
URGENT: আপনার BRAC Bank account block হতে চলেছে। Verify করতে এখনই click করুন [URL] before any fund loss,3
আপনার সোনালী ব্যাংক অ্যাকাউন্ট ব্লক হওয়ার পথে। এটি চালু রাখতে সাথে সাথে [PHONE] নম্বরে কল দিন এবং OTP নিশ্চিত করুন।,5
"Smartphone জেতার amazing offer! Simple কিছু question এর answer দিয়ে win করুন ১৪,৯৯৯ TK এর attractive smartphone Oppo A17 মাত্র ২.৭৮TK/day, Dial *213*664#",1
Customs duty 12000 TK for your international shipment. Pay: [URL] Tracking: CS8847493,1
ভয়ংকর সংবাদ! আপনার জাতীয় পরিচয়পত্র (NID) ব্যবহার করে কেউ আপনার নামে একটি ক্রেডিট কার্ডের জন্য আবেদন করেছে এবং ইতিমধ্যে ৩ লক্ষ টাকার লিমিট অনুমোদিত হয়ে গেছে। এই জালিয়াতি প্রতিরোধ করার জন্য আপনাকে অবিলম্বে আপনার NID তথ্য যাচাই করতে হবে। জরুরি ভিত্তিতে verify-nid-emergency.ml লিংকে গিয়ে আপনার সম্পূর্ণ তথ্য দিন নতুবা আইনগত জটিলতায় পড়তে পারেন।,5
jonta bank account block hoyeche. punoray chalute call korun: [PHONE],8
"আপনার card ending in 8765 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: [URL]",3
[URL] Dine 200 theke 300 taka income korte chaile ei link-e click korun,6
To reactivate your SIM card call [PHONE],1
"১,০০,০০০ টাকা বিনিয়োগে ২,০০,০০০ টাকা পান! কল করুন: [PHONE]",9
"European championship e baji dhorun ar 5,000 taka cashback jitun. Shuru korun: [URL]",6
Sonali Bank থেকে warning: আপনার account এ unauthorized login detect হয়েছে। Verify করুন [URL],3
Nagad account block হয়েছে। Again চালু করতে এখানে click করুন: [URL],2
"সোনালী ব্যাংক থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: [PHONE]",9
Hospital emergency bill 68000 TK for accident treatment. Pay immediately: [URL],1
An urgent message has come from Bangladesh Bank. Call: [PHONE],1
Prime Bank থেকে urgent notification: account block হতে পারে। Visit [URL],3
Nagad account এ TK5000 জমা হয়েছে। Click here for details: [URL],7
মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। এখনই শুরু করুন: [URL],0
অভিনন্দন! আপনি লটারিতে ৫ লক্ষ টাকা জিতেছেন। পুরস্কার নিতে এখনই কল করুন: [PHONE],9
"Apnar shamprotik Amazon kenar jonno apnake dhonnobad. Apnake $180.34 charge kora hoyeche. Jodi kono vul hoye thake, onugroho kore call korun (407)438-4356",8
Mashrafi-র signed bat জিততে casino-তে bet করুন। এখনই join করুন: [URL],4
"Hello, amar nam ALIYE. Apnake birokkho korar jonno dukkhoito. Ami [URL] er manushshompod bibhag. Ami ki apnar koyek minute somoy nite pari? Dupur adhaita amader company apnake ekta khondokaloin chakri prodan korte pare khushi je apni apnar obosher somoye korte paren, tai amader prochur shongkhok shobayok kormi niyog korte hobe (kono fee ebong binimoy nei). Ei kaj ti sohoj ebong nomanoshiyo ebong apnar bortoman chakrite hostokshep korbe na. Pare apni dine matro 5-10 minute e sohojei 300-1200TK uparjon korte parben. Apni ki ei chakrite agrohi?",6
বিপিএল বাজি ধরুন এবং একটি ফ্রি ঘড়ি জিতুন। এখনই ক্লিক করুন: [URL],0
BRAC Bank emergency alert: Apnar balance duplicate transaction er jonne at risk. Please verify ekhuni [URL] Delay hole apnar taka automatic transfer hoye jabe.,8
"[URL] Free income korte chaile click korun,🤞",6
মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। এখনই ক্লিক করুন: [URL],0
আয় করুন [URL],5
Bank Asia urgent notice: Complete KYC or account suspended. Link: [URL],1
1 টা স্টরি লিখে দিলে 40 টাকা 2 টা স্টরি 80 টাকা 5 টা লিখলে 200 টাকা ডেইলি ৬-৭ টা পিক দেওয়া হবে সেটা দেখে দেখে লিখতে হবে শুধু। 😊 কাজ করার সাথে সাথেই পেমেন্ট পাবেন ইনশাআল্লাহ এড ফি ৫০ টাকা ✅,5
